Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Pair
2024-01-02,47.83000183105469,48.84000015258789,47.75199890136719,48.560001373291016,48.0034294128418,3123400,CTVA,CTVA-FMC
2024-01-03,48.279998779296875,48.46799850463867,47.849998474121094,48.08000183105469,47.5289306640625,3469300,CTVA,CTVA-FMC
2024-01-04,48.099998474121094,48.22999954223633,47.40999984741211,47.599998474121094,47.0544319152832,3079900,CTVA,CTVA-FMC
2024-01-05,47.599998474121094,47.7599983215332,46.91999816894531,47.33000183105469,46.78752899169922,2773800,CTVA,CTVA-FMC
2024-01-08,47.02000045776367,47.2400016784668,46.279998779296875,47.0099983215332,46.471195220947266,2414600,CTVA,CTVA-FMC
2024-01-09,46.689998626708984,46.75,46.0,46.5099983215332,45.97692108154297,3042800,CTVA,CTVA-FMC
2024-01-10,45.970001220703125,46.31999969482422,45.86000061035156,46.04999923706055,45.522193908691406,2595400,CTVA,CTVA-FMC
2024-01-11,46.2599983215332,46.56999969482422,45.83000183105469,46.029998779296875,45.50242233276367,4007900,CTVA,CTVA-FMC
2024-01-12,46.41999816894531,46.54999923706055,45.84000015258789,46.11000061035156,45.58151626586914,3299000,CTVA,CTVA-FMC
2024-01-16,46.025001525878906,46.053001403808594,45.2599983215332,45.4900016784668,44.9686164855957,5702900,CTVA,CTVA-FMC
2024-01-17,45.0,45.630001068115234,44.67499923706055,44.84000015258789,44.32606887817383,3644900,CTVA,CTVA-FMC
2024-01-18,44.689998626708984,44.7400016784668,44.06999969482422,44.40999984741211,43.900997161865234,4040000,CTVA,CTVA-FMC
2024-01-19,44.16999816894531,45.63999938964844,44.0099983215332,45.599998474121094,45.077354431152344,5114100,CTVA,CTVA-FMC
2024-01-22,45.165000915527344,45.560001373291016,44.79999923706055,44.970001220703125,44.4545783996582,4708200,CTVA,CTVA-FMC
2024-01-23,45.47999954223633,45.880001068115234,45.05500030517578,45.43000030517578,44.909297943115234,2634600,CTVA,CTVA-FMC
2024-01-24,45.61000061035156,45.665000915527344,44.90999984741211,45.40999984741211,44.88953399658203,2454400,CTVA,CTVA-FMC
2024-01-25,45.75,45.83000183105469,45.0099983215332,45.2400016784668,44.72148132324219,3958100,CTVA,CTVA-FMC
2024-01-26,45.65999984741211,45.939998626708984,45.25,45.86000061035156,45.334381103515625,3226200,CTVA,CTVA-FMC
2024-01-29,45.7400016784668,45.939998626708984,45.29999923706055,45.93000030517578,45.40357208251953,2123200,CTVA,CTVA-FMC
2024-01-30,45.619998931884766,46.145999908447266,45.58000183105469,45.83000183105469,45.30472183227539,2948200,CTVA,CTVA-FMC
2024-01-31,46.0099983215332,46.349998474121094,45.459999084472656,45.47999954223633,44.95873260498047,5825300,CTVA,CTVA-FMC
2024-02-01,56.4900016784668,57.7599983215332,52.36000061035156,54.060001373291016,53.44039535522461,12192900,CTVA,CTVA-FMC
2024-02-02,54.29999923706055,54.5,52.88999938964844,53.040000915527344,52.43208312988281,5601500,CTVA,CTVA-FMC
2024-02-05,52.5,52.5,51.654998779296875,51.79999923706055,51.20629119873047,5824300,CTVA,CTVA-FMC
2024-02-06,51.75,52.415000915527344,51.310001373291016,52.09000015258789,51.49297332763672,4725400,CTVA,CTVA-FMC
2024-02-07,52.34000015258789,54.189998626708984,52.34000015258789,54.06999969482422,53.45027542114258,7010000,CTVA,CTVA-FMC
2024-02-08,53.9900016784668,54.33000183105469,52.650001525878906,53.2400016784668,52.629791259765625,6199800,CTVA,CTVA-FMC
2024-02-09,53.040000915527344,53.9109992980957,52.880001068115234,53.599998474121094,52.98566436767578,2929800,CTVA,CTVA-FMC
2024-02-12,54.630001068115234,55.310001373291016,54.459999084472656,55.040000915527344,54.409156799316406,3274500,CTVA,CTVA-FMC
2024-02-13,54.58000183105469,54.9900016784668,53.349998474121094,53.630001068115234,53.01531982421875,3525700,CTVA,CTVA-FMC
2024-02-14,54.11000061035156,54.30500030517578,53.55500030517578,54.08000183105469,53.46016311645508,3260500,CTVA,CTVA-FMC
2024-02-15,54.290000915527344,55.40999984741211,54.290000915527344,54.68000030517578,54.05328369140625,3048100,CTVA,CTVA-FMC
2024-02-16,54.77000045776367,55.279998779296875,54.52000045776367,54.79999923706055,54.171905517578125,3892700,CTVA,CTVA-FMC
2024-02-20,54.380001068115234,54.70000076293945,53.95000076293945,54.36000061035156,53.73695373535156,3113400,CTVA,CTVA-FMC
2024-02-21,54.220001220703125,54.540000915527344,53.959999084472656,54.220001220703125,53.59856033325195,2326000,CTVA,CTVA-FMC
2024-02-22,54.06999969482422,54.869998931884766,53.90999984741211,54.709999084472656,54.08293914794922,4256400,CTVA,CTVA-FMC
2024-02-23,54.619998931884766,55.11000061035156,54.48500061035156,54.900001525878906,54.27076721191406,2400300,CTVA,CTVA-FMC
2024-02-26,54.61000061035156,55.19499969482422,54.47999954223633,54.81999969482422,54.191680908203125,2593700,CTVA,CTVA-FMC
2024-02-27,55.07500076293945,55.34000015258789,54.85499954223633,55.130001068115234,54.49812698364258,2186100,CTVA,CTVA-FMC
2024-02-28,54.880001068115234,55.077999114990234,54.15999984741211,54.540000915527344,53.914894104003906,3568600,CTVA,CTVA-FMC
2024-02-29,54.47999954223633,54.5,53.25,53.52000045776367,53.0622444152832,6804300,CTVA,CTVA-FMC
2024-03-01,53.4900016784668,54.34000015258789,53.4900016784668,53.65999984741211,53.2010498046875,4274200,CTVA,CTVA-FMC
2024-03-04,53.36000061035156,53.9900016784668,53.349998474121094,53.61000061035156,53.15147399902344,2490200,CTVA,CTVA-FMC
2024-03-05,53.439998626708984,54.11000061035156,53.36000061035156,53.939998626708984,53.47865295410156,2904900,CTVA,CTVA-FMC
2024-03-06,54.099998474121094,54.540000915527344,53.77000045776367,54.029998779296875,53.5678825378418,4142500,CTVA,CTVA-FMC
2024-03-07,54.43000030517578,55.13999938964844,54.275001525878906,54.4900016784668,54.023948669433594,3330900,CTVA,CTVA-FMC
2024-03-08,54.47999954223633,54.84000015258789,54.400001525878906,54.68000030517578,54.21232223510742,4260600,CTVA,CTVA-FMC
2024-03-11,54.58000183105469,55.689998626708984,54.58000183105469,55.09000015258789,54.61882019042969,4053600,CTVA,CTVA-FMC
2024-03-12,55.20000076293945,55.369998931884766,54.17499923706055,55.11000061035156,54.63864517211914,4423800,CTVA,CTVA-FMC
2024-03-13,55.34000015258789,55.790000915527344,55.20000076293945,55.29999923706055,54.82701873779297,3165200,CTVA,CTVA-FMC
2024-03-14,55.09000015258789,55.220001220703125,54.49300003051758,55.20000076293945,54.727874755859375,3514800,CTVA,CTVA-FMC
2024-03-15,54.84000015258789,55.68000030517578,54.84000015258789,55.09000015258789,54.61882019042969,6496000,CTVA,CTVA-FMC
2024-03-18,55.45000076293945,55.45000076293945,54.52000045776367,54.709999084472656,54.2420654296875,3169500,CTVA,CTVA-FMC
2024-03-19,54.70000076293945,55.01499938964844,54.34000015258789,54.66999816894531,54.2024040222168,3134600,CTVA,CTVA-FMC
2024-03-20,54.849998474121094,55.86600112915039,54.63999938964844,55.72999954223633,55.25333786010742,5427100,CTVA,CTVA-FMC
2024-03-21,55.81999969482422,55.88999938964844,55.25,55.779998779296875,55.302913665771484,2467400,CTVA,CTVA-FMC
2024-03-22,55.939998626708984,56.08000183105469,54.970001220703125,55.06999969482422,54.5989875793457,1993500,CTVA,CTVA-FMC
2024-03-25,55.279998779296875,55.65999984741211,54.9379997253418,55.630001068115234,55.154197692871094,2132600,CTVA,CTVA-FMC
2024-03-26,55.650001525878906,56.349998474121094,55.630001068115234,56.29999923706055,55.81846618652344,3283700,CTVA,CTVA-FMC
2024-03-27,56.59000015258789,57.040000915527344,56.529998779296875,57.0,56.51247787475586,2629300,CTVA,CTVA-FMC
2024-03-28,57.150001525878906,58.18000030517578,57.08000183105469,57.66999816894531,57.1767463684082,4563900,CTVA,CTVA-FMC
2024-04-01,57.56999969482422,57.75,57.01499938964844,57.68000030517578,57.18666458129883,3847100,CTVA,CTVA-FMC
2024-04-02,57.79999923706055,58.06999969482422,57.11000061035156,57.16999816894531,56.68102264404297,3092900,CTVA,CTVA-FMC
2024-04-03,57.209999084472656,57.63999938964844,57.06999969482422,57.40999984741211,56.918975830078125,3025200,CTVA,CTVA-FMC
2024-04-04,58.119998931884766,58.15999984741211,56.91999816894531,56.95000076293945,56.46290969848633,2627400,CTVA,CTVA-FMC
2024-04-05,56.869998931884766,57.04999923706055,56.26300048828125,56.849998474121094,56.363765716552734,2227500,CTVA,CTVA-FMC
2024-04-08,57.099998474121094,57.52000045776367,56.849998474121094,57.52000045776367,57.02803421020508,3770300,CTVA,CTVA-FMC
2024-04-09,57.72999954223633,57.849998474121094,56.84000015258789,57.52000045776367,57.02803421020508,1902000,CTVA,CTVA-FMC
2024-04-10,56.619998931884766,57.439998626708984,56.2400016784668,57.15999984741211,56.671112060546875,2133300,CTVA,CTVA-FMC
2024-04-11,56.90999984741211,57.150001525878906,56.029998779296875,56.459999084472656,55.97710037231445,1870600,CTVA,CTVA-FMC
2024-04-12,54.66999816894531,55.685001373291016,53.64500045776367,53.7599983215332,53.30018997192383,3906700,CTVA,CTVA-FMC
2024-04-15,54.5099983215332,54.59000015258789,53.189998626708984,53.66999816894531,53.21095657348633,2709500,CTVA,CTVA-FMC
2024-04-16,53.529998779296875,53.7599983215332,53.20500183105469,53.31999969482422,52.86395263671875,2742800,CTVA,CTVA-FMC
2024-04-17,53.59000015258789,54.34000015258789,53.4900016784668,53.529998779296875,53.07215881347656,2656500,CTVA,CTVA-FMC
2024-04-18,53.86000061035156,54.165000915527344,53.61000061035156,53.959999084472656,53.49848175048828,1614900,CTVA,CTVA-FMC
2024-04-19,53.900001525878906,54.84000015258789,53.880001068115234,54.79999923706055,54.331295013427734,2052600,CTVA,CTVA-FMC
2024-04-22,54.79999923706055,55.459999084472656,54.40999984741211,55.20000076293945,54.727874755859375,2315600,CTVA,CTVA-FMC
2024-04-23,54.66999816894531,55.56999969482422,54.66999816894531,55.18000030517578,54.708045959472656,2576200,CTVA,CTVA-FMC
2024-04-24,54.650001525878906,55.064998626708984,54.29999923706055,54.77000045776367,54.30155563354492,1811700,CTVA,CTVA-FMC
2024-04-25,54.79999923706055,54.95000076293945,54.060001373291016,54.70000076293945,54.23215103149414,1593400,CTVA,CTVA-FMC
2024-04-26,54.369998931884766,55.19499969482422,54.36000061035156,54.91999816894531,54.45026397705078,2350200,CTVA,CTVA-FMC
2024-04-29,55.20000076293945,55.5,54.9900016784668,55.5,55.02531051635742,2348000,CTVA,CTVA-FMC
2024-04-30,55.099998474121094,55.150001525878906,54.11000061035156,54.130001068115234,53.66702651977539,3520000,CTVA,CTVA-FMC
2024-05-01,54.38999938964844,54.72999954223633,53.650001525878906,53.90999984741211,53.448909759521484,3590000,CTVA,CTVA-FMC
2024-05-02,57.0,57.70000076293945,56.310001373291016,56.97999954223633,56.49264907836914,6605000,CTVA,CTVA-FMC
