Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Pair
2024-01-02,251.50999450683594,252.94000244140625,250.22999572753906,252.24000549316406,247.16636657714844,2488000,FDX,CHRW-FDX
2024-01-03,250.27000427246094,250.27000427246094,245.8000030517578,247.63999938964844,242.65887451171875,2949900,FDX,CHRW-FDX
2024-01-04,247.25,247.74000549316406,245.0800018310547,245.2899932861328,240.3561553955078,2911800,FDX,CHRW-FDX
2024-01-05,245.0399932861328,248.8300018310547,244.50999450683594,246.80999755859375,241.84559631347656,2267600,FDX,CHRW-FDX
2024-01-08,248.27000427246094,249.83999633789062,246.11000061035156,248.58999633789062,243.5897674560547,2226700,FDX,CHRW-FDX
2024-01-09,247.10000610351562,248.7100067138672,246.63999938964844,247.25,242.2767333984375,1514100,FDX,CHRW-FDX
2024-01-10,246.7899932861328,251.08999633789062,246.02999877929688,250.80999755859375,245.76510620117188,1968700,FDX,CHRW-FDX
2024-01-11,250.13999938964844,251.72999572753906,248.38999938964844,250.85000610351562,245.8043212890625,2020400,FDX,CHRW-FDX
2024-01-12,250.27000427246094,251.52999877929688,247.60000610351562,248.57000732421875,243.57017517089844,1603600,FDX,CHRW-FDX
2024-01-16,247.25,247.25,243.66000366210938,245.0399932861328,240.11117553710938,2805000,FDX,CHRW-FDX
2024-01-17,242.0,244.7899932861328,241.5,243.2899932861328,238.39637756347656,1904200,FDX,CHRW-FDX
2024-01-18,244.9199981689453,244.9199981689453,242.0,244.07000732421875,239.1606903076172,1995300,FDX,CHRW-FDX
2024-01-19,244.7899932861328,246.64999389648438,242.02000427246094,246.52999877929688,241.5712127685547,2410500,FDX,CHRW-FDX
2024-01-22,247.39999389648438,251.72999572753906,247.39999389648438,250.69000244140625,245.6475372314453,2300000,FDX,CHRW-FDX
2024-01-23,251.17999267578125,251.83999633789062,249.3000030517578,250.85000610351562,245.8043212890625,1633700,FDX,CHRW-FDX
2024-01-24,252.1699981689453,253.52000427246094,248.7899932861328,249.72999572753906,244.70684814453125,2466500,FDX,CHRW-FDX
2024-01-25,251.85000610351562,254.85000610351562,251.4600067138672,253.1300048828125,248.0384521484375,1714500,FDX,CHRW-FDX
2024-01-26,253.4199981689453,254.44000244140625,250.77999877929688,251.5500030517578,246.49024963378906,1755800,FDX,CHRW-FDX
2024-01-29,250.86000061035156,251.00999450683594,246.00999450683594,248.02999877929688,243.04104614257812,2612200,FDX,CHRW-FDX
2024-01-30,243.32000732421875,247.0500030517578,241.35000610351562,243.77000427246094,238.86671447753906,3961500,FDX,CHRW-FDX
2024-01-31,243.41000366210938,244.4499969482422,240.5399932861328,241.2899932861328,236.4365997314453,2990600,FDX,CHRW-FDX
2024-02-01,241.38999938964844,242.58999633789062,239.17999267578125,241.9499969482422,237.0833282470703,2417100,FDX,CHRW-FDX
2024-02-02,241.5,243.82000732421875,239.33999633789062,242.36000061035156,237.48509216308594,1999200,FDX,CHRW-FDX
2024-02-05,240.7899932861328,241.60000610351562,237.9499969482422,238.30999755859375,233.5165557861328,2624900,FDX,CHRW-FDX
2024-02-06,238.89999389648438,243.77999877929688,238.7100067138672,241.32000732421875,236.4660186767578,2625000,FDX,CHRW-FDX
2024-02-07,242.02000427246094,243.27999877929688,240.3300018310547,242.1300048828125,237.2597198486328,2155500,FDX,CHRW-FDX
2024-02-08,241.89999389648438,243.33999633789062,240.41000366210938,241.75,236.88735961914062,1847300,FDX,CHRW-FDX
2024-02-09,242.05999755859375,242.82000732421875,240.1300048828125,242.6199951171875,237.73983764648438,1786300,FDX,CHRW-FDX
2024-02-12,242.7100067138672,244.60000610351562,241.86000061035156,244.44000244140625,239.5232696533203,1773200,FDX,CHRW-FDX
2024-02-13,240.75,240.83999633789062,235.0500030517578,236.38999938964844,231.6351776123047,2513600,FDX,CHRW-FDX
2024-02-14,237.4199981689453,237.6999969482422,235.30999755859375,236.8300018310547,232.06631469726562,1454000,FDX,CHRW-FDX
2024-02-15,236.27000427246094,238.32000732421875,235.74000549316406,236.52000427246094,231.76255798339844,1520400,FDX,CHRW-FDX
2024-02-16,235.80999755859375,238.19000244140625,234.4499969482422,237.58999633789062,232.81103515625,2112800,FDX,CHRW-FDX
2024-02-20,236.52000427246094,239.66000366210938,235.32000732421875,239.5399932861328,234.7218017578125,1671600,FDX,CHRW-FDX
2024-02-21,239.72000122070312,241.5399932861328,238.2100067138672,241.41000366210938,236.55419921875,1497100,FDX,CHRW-FDX
2024-02-22,242.13999938964844,244.3000030517578,241.5800018310547,244.16000366210938,239.24888610839844,1344900,FDX,CHRW-FDX
2024-02-23,244.22999572753906,244.9499969482422,242.52000427246094,243.4600067138672,238.56297302246094,1128800,FDX,CHRW-FDX
2024-02-26,241.6199951171875,243.88999938964844,240.52000427246094,241.1199951171875,236.27001953125,1294700,FDX,CHRW-FDX
2024-02-27,241.32000732421875,242.60000610351562,240.89999389648438,241.39999389648438,236.54437255859375,1029900,FDX,CHRW-FDX
2024-02-28,239.3300018310547,244.52000427246094,239.07000732421875,244.3699951171875,239.45465087890625,1442600,FDX,CHRW-FDX
2024-02-29,245.77999877929688,249.4600067138672,245.2100067138672,248.97000122070312,243.9621124267578,2789200,FDX,CHRW-FDX
2024-03-01,248.0399932861328,249.17999267578125,245.57000732421875,246.60000610351562,241.63978576660156,1682600,FDX,CHRW-FDX
2024-03-04,245.0399932861328,248.10000610351562,244.52999877929688,246.77000427246094,241.80638122558594,1594600,FDX,CHRW-FDX
2024-03-05,245.5800018310547,248.7899932861328,245.16000366210938,248.72000122070312,243.71717834472656,1381000,FDX,CHRW-FDX
