Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Pair
2024-01-02,93.81999969482422,95.87999725341797,93.66000366210938,95.55999755859375,92.0091323852539,5038500,PM,MO-PM
2024-01-03,95.44000244140625,95.68000030517578,94.73999786376953,95.41999816894531,91.87433624267578,4145200,PM,MO-PM
2024-01-04,95.77999877929688,96.81999969482422,95.55999755859375,95.66000366210938,92.10543060302734,5179400,PM,MO-PM
2024-01-05,95.4000015258789,96.02999877929688,94.62000274658203,95.30000305175781,91.75879669189453,3251800,PM,MO-PM
2024-01-08,95.88999938964844,96.76000213623047,95.86000061035156,96.29000091552734,92.7120132446289,3828300,PM,MO-PM
2024-01-09,95.62000274658203,95.68000030517578,94.77999877929688,95.58999633789062,92.03802490234375,4523500,PM,MO-PM
2024-01-10,95.69000244140625,96.37999725341797,93.51000213623047,94.47000122070312,90.95964050292969,4837400,PM,MO-PM
2024-01-11,94.31999969482422,95.25,93.8499984741211,95.1500015258789,91.61436462402344,4467600,PM,MO-PM
2024-01-12,95.97000122070312,96.41000366210938,95.11000061035156,95.2699966430664,91.72990417480469,3593200,PM,MO-PM
2024-01-16,95.16000366210938,95.16000366210938,94.16000366210938,94.51000213623047,90.99815368652344,3304500,PM,MO-PM
2024-01-17,94.05999755859375,94.52999877929688,93.37000274658203,93.70999908447266,90.22787475585938,2753400,PM,MO-PM
2024-01-18,93.0999984741211,93.4800033569336,92.19999694824219,93.19000244140625,89.72720336914062,3640800,PM,MO-PM
2024-01-19,93.4800033569336,93.56999969482422,91.76000213623047,92.31999969482422,88.88953399658203,5891600,PM,MO-PM
2024-01-22,92.05000305175781,93.04000091552734,91.83000183105469,92.43000030517578,88.99544525146484,5201900,PM,MO-PM
2024-01-23,90.94999694824219,91.98999786376953,90.5199966430664,91.80000305175781,88.38886260986328,4429300,PM,MO-PM
2024-01-24,92.02999877929688,92.06999969482422,90.8499984741211,90.87999725341797,87.50303649902344,5562100,PM,MO-PM
2024-01-25,91.44999694824219,91.79000091552734,90.8499984741211,91.20999908447266,87.8207778930664,7212600,PM,MO-PM
2024-01-26,91.75,92.11000061035156,90.83999633789062,90.8499984741211,87.47415161132812,5935800,PM,MO-PM
2024-01-29,91.20999908447266,91.80000305175781,90.97000122070312,91.69999694824219,88.29256439208984,6509100,PM,MO-PM
2024-01-30,91.33999633789062,91.93000030517578,90.4800033569336,91.76000213623047,88.350341796875,6120500,PM,MO-PM
2024-01-31,91.86000061035156,91.88999938964844,90.79000091552734,90.8499984741211,87.47415161132812,7323000,PM,MO-PM
2024-02-01,91.2300033569336,93.29000091552734,90.94999694824219,93.29000091552734,89.823486328125,5169300,PM,MO-PM
2024-02-02,92.75,93.30000305175781,91.98999786376953,92.98999786376953,89.53462982177734,5036000,PM,MO-PM
2024-02-05,92.75,92.75,91.54000091552734,91.62999725341797,88.22516632080078,4672000,PM,MO-PM
2024-02-06,91.62999725341797,91.86000061035156,91.05000305175781,91.66000366210938,88.25405883789062,5160100,PM,MO-PM
2024-02-07,91.94999694824219,92.12999725341797,91.2300033569336,91.44000244140625,88.04222869873047,4694300,PM,MO-PM
2024-02-08,89.0,90.55999755859375,88.30000305175781,89.01000213623047,85.70252990722656,9260300,PM,MO-PM
2024-02-09,89.0,89.43000030517578,88.55000305175781,89.12000274658203,85.80844116210938,4966300,PM,MO-PM
2024-02-12,89.12000274658203,90.16999816894531,89.0199966430664,90.0,86.6557388305664,4022300,PM,MO-PM
2024-02-13,89.58000183105469,90.16999816894531,88.41999816894531,89.19000244140625,85.87583923339844,5935300,PM,MO-PM
2024-02-14,89.16999816894531,89.52999877929688,88.77999877929688,89.22000122070312,85.90472412109375,5534900,PM,MO-PM
2024-02-15,89.44000244140625,89.5,88.81999969482422,88.9800033569336,85.67363739013672,8765600,PM,MO-PM
2024-02-16,88.87999725341797,90.04000091552734,88.70999908447266,89.6500015258789,86.3187484741211,4382200,PM,MO-PM
2024-02-20,89.61000061035156,89.95999908447266,89.12999725341797,89.63999938964844,86.30911254882812,4448000,PM,MO-PM
2024-02-21,89.6500015258789,90.69000244140625,89.25,90.56999969482422,87.20455932617188,4173100,PM,MO-PM
2024-02-22,90.18000030517578,91.22000122070312,89.95999908447266,91.19000244140625,87.80152893066406,4161700,PM,MO-PM
2024-02-23,91.2300033569336,91.95999908447266,91.04000091552734,91.55999755859375,88.15776824951172,3981300,PM,MO-PM
2024-02-26,91.4800033569336,91.5199966430664,90.05000305175781,90.41999816894531,87.06012725830078,3941500,PM,MO-PM
2024-02-27,90.41999816894531,90.69000244140625,89.9000015258789,90.18000030517578,86.82904815673828,4503900,PM,MO-PM
2024-02-28,90.18000030517578,90.61000061035156,89.73999786376953,90.41999816894531,87.06012725830078,3431700,PM,MO-PM
2024-02-29,90.6500015258789,90.77999877929688,89.86000061035156,89.95999908447266,86.61722564697266,5735600,PM,MO-PM
2024-03-01,89.83000183105469,89.86000061035156,88.86000061035156,89.83000183105469,86.49205017089844,5093300,PM,MO-PM
2024-03-04,89.48999786376953,90.7699966430664,89.16999816894531,90.30999755859375,86.95421600341797,4670600,PM,MO-PM
2024-03-05,90.02999877929688,90.9000015258789,89.91999816894531,90.56999969482422,87.20455932617188,4067700,PM,MO-PM
2024-03-06,91.2300033569336,91.72000122070312,90.76000213623047,91.08999633789062,87.70523071289062,5166300,PM,MO-PM
2024-03-07,91.18000030517578,91.6500015258789,91.0999984741211,91.51000213623047,88.10962677001953,2839500,PM,MO-PM
2024-03-08,91.5,92.93000030517578,91.25,92.68000030517578,89.23615264892578,3548500,PM,MO-PM
2024-03-11,92.91000366210938,94.45999908447266,92.83999633789062,94.41000366210938,90.90187072753906,4291400,PM,MO-PM
2024-03-12,94.72000122070312,95.33999633789062,93.80999755859375,94.66999816894531,91.15220642089844,4899800,PM,MO-PM
