Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,175.66000366210938,175.77999877929688,170.60000610351562,172.60000610351562,169.4578094482422,578700
2023-01-04,170.88999938964844,176.77000427246094,169.72000122070312,174.97999572753906,171.79441833496094,801600
2023-01-05,172.27000427246094,172.52000427246094,168.25,169.1999969482422,166.1196746826172,1033000
2023-01-06,169.91000366210938,176.5800018310547,169.88999938964844,176.0399932861328,172.83514404296875,765500
2023-01-09,173.8699951171875,180.77999877929688,173.8699951171875,177.63999938964844,174.40603637695312,648800
2023-01-10,177.63999938964844,177.88999938964844,174.57000732421875,175.3800048828125,172.18714904785156,444900
2023-01-11,176.6999969482422,181.1300048828125,175.7899932861328,180.67999267578125,177.39065551757812,688600
2023-01-12,180.75,181.5,177.1999969482422,179.64999389648438,176.3794403076172,577900
2023-01-13,176.9600067138672,177.6699981689453,175.07000732421875,176.8000030517578,173.58132934570312,562200
2023-01-17,177.0800018310547,178.00999450683594,175.38999938964844,176.2899932861328,173.08058166503906,1205500
2023-01-18,177.0,187.11000061035156,177.0,185.02000427246094,181.65167236328125,2156000
2023-01-19,183.69000244140625,189.27999877929688,182.63999938964844,184.8300018310547,181.46514892578125,1747600
2023-01-20,186.67999267578125,189.52000427246094,184.36000061035156,189.10000610351562,185.6573944091797,878300
2023-01-23,189.2100067138672,195.89999389648438,188.22999572753906,193.6199951171875,190.0950927734375,863800
2023-01-24,193.0500030517578,196.0,190.11000061035156,191.8800048828125,188.3867950439453,759400
2023-01-25,190.0399932861328,190.25999450683594,186.75,188.61000061035156,185.17633056640625,655900
2023-01-26,190.02000427246094,190.17999267578125,183.6699981689453,188.72000122070312,185.28431701660156,525400
2023-01-27,187.47000122070312,194.27999877929688,187.47000122070312,191.61000061035156,188.1217041015625,702800
2023-01-30,190.1999969482422,190.50999450683594,185.5500030517578,185.7899932861328,182.4076690673828,582800
2023-01-31,185.8000030517578,189.1699981689453,185.39999389648438,189.0500030517578,185.60829162597656,689400
2023-02-01,189.91000366210938,197.19000244140625,188.10000610351562,195.9600067138672,192.3925323486328,991700
2023-02-02,197.2100067138672,200.63999938964844,196.11000061035156,197.35000610351562,193.75718688964844,813800
2023-02-03,194.50999450683594,198.50999450683594,192.52999877929688,197.88999938964844,194.287353515625,746000
2023-02-06,196.4600067138672,197.99000549316406,195.74000549316406,197.0800018310547,193.4921112060547,530800
2023-02-07,197.82000732421875,200.27000427246094,196.14999389648438,199.89999389648438,196.26077270507812,615900
2023-02-08,199.60000610351562,199.9499969482422,196.7899932861328,197.72999572753906,194.13027954101562,614200
2023-02-09,199.22000122070312,199.22000122070312,191.0800018310547,191.30999755859375,188.22695922851562,551000
2023-02-10,189.30999755859375,191.49000549316406,188.80999755859375,190.60000610351562,187.52841186523438,558000
2023-02-13,190.1999969482422,191.97000122070312,189.97999572753906,191.86000061035156,188.7681121826172,543500
2023-02-14,191.14999389648438,194.63999938964844,188.74000549316406,194.35000610351562,191.21798706054688,611400
2023-02-15,192.14999389648438,193.4199981689453,190.80999755859375,192.39999389648438,189.29940795898438,572500
2023-02-16,189.10000610351562,191.08999633789062,187.55999755859375,187.9499969482422,184.92112731933594,720100
2023-02-17,187.1300048828125,188.6699981689453,186.0,188.35000610351562,185.31468200683594,619600
2023-02-21,186.72999572753906,186.89999389648438,183.44000244140625,184.0,181.0347900390625,591000
2023-02-22,184.91000366210938,186.17999267578125,181.99000549316406,182.5800018310547,179.63766479492188,618600
2023-02-23,183.67999267578125,185.97000122070312,182.0,184.9499969482422,181.96946716308594,477200
2023-02-24,182.02999877929688,184.3300018310547,181.36000061035156,183.5399932861328,180.58216857910156,371800
2023-02-27,185.44000244140625,185.97000122070312,183.35000610351562,184.02999877929688,181.0642852783203,343500
2023-02-28,183.38999938964844,184.3300018310547,179.75,180.7899932861328,177.8765106201172,1174900
2023-03-01,180.0399932861328,182.8699951171875,178.72000122070312,182.14999389648438,179.21458435058594,702100
2023-03-02,180.97999572753906,186.82000732421875,178.74000549316406,185.85000610351562,182.85496520996094,564700
2023-03-03,186.3000030517578,187.0500030517578,183.82000732421875,186.63999938964844,183.63223266601562,500100
2023-03-06,185.6199951171875,188.27999877929688,185.2100067138672,185.47999572753906,182.4909210205078,454900
2023-03-07,184.77000427246094,184.77000427246094,180.08999633789062,181.02999877929688,178.11264038085938,784200
2023-03-08,180.4499969482422,184.38999938964844,180.4499969482422,183.58999633789062,180.6313934326172,649500
2023-03-09,184.02999877929688,186.08999633789062,179.55999755859375,179.61000061035156,176.7155303955078,614600
2023-03-10,179.88999938964844,180.33999633789062,175.0500030517578,175.4499969482422,172.62255859375,783600
2023-03-13,173.52999877929688,175.8000030517578,171.77000427246094,173.5500030517578,170.75320434570312,840600
2023-03-14,175.85000610351562,177.47999572753906,164.69000244140625,168.32000732421875,165.60748291015625,1674800
2023-03-15,166.30999755859375,170.8300018310547,164.3800048828125,168.77000427246094,166.0502166748047,1222900
2023-03-16,168.55999755859375,172.7100067138672,167.1699981689453,171.69000244140625,168.9231719970703,701400
2023-03-17,171.63999938964844,172.1699981689453,166.11000061035156,167.5,164.80067443847656,1179100
2023-03-20,167.74000549316406,168.5,164.88999938964844,165.66000366210938,162.99034118652344,719500
2023-03-21,167.83999633789062,170.8000030517578,167.83999633789062,170.3800048828125,167.63426208496094,631000
2023-03-22,169.74000549316406,172.07000732421875,166.86000061035156,167.0,164.30873107910156,560100
2023-03-23,167.74000549316406,170.38999938964844,165.58999633789062,165.9600067138672,163.28550720214844,714500
2023-03-24,164.80999755859375,166.52999877929688,163.66000366210938,166.10000610351562,163.42324829101562,535600
2023-03-27,168.0,169.94000244140625,166.80999755859375,169.27000427246094,166.54217529296875,541000
2023-03-28,168.91000366210938,171.6199951171875,168.91000366210938,171.3000030517578,168.5394287109375,554700
2023-03-29,173.1300048828125,173.24000549316406,170.19000244140625,171.05999755859375,168.3032989501953,591100
2023-03-30,172.75,172.75,169.4199981689453,169.75,167.0144500732422,388800
2023-03-31,171.16000366210938,175.88999938964844,170.91000366210938,175.4600067138672,172.6324005126953,874000
2023-04-03,174.55999755859375,175.42999267578125,171.99000549316406,173.4199981689453,170.62527465820312,492700
2023-04-04,173.64999389648438,173.7100067138672,170.5500030517578,171.13999938964844,168.38201904296875,580700
2023-04-05,170.5500030517578,171.82000732421875,168.24000549316406,170.25999450683594,167.51620483398438,621900
2023-04-06,170.02000427246094,170.92999267578125,169.00999450683594,170.02999877929688,167.28988647460938,562700
2023-04-10,168.60000610351562,174.24000549316406,167.80999755859375,174.13999938964844,171.3336944580078,513500
2023-04-11,174.88999938964844,176.8000030517578,174.69000244140625,175.52000427246094,172.69143676757812,551100
2023-04-12,176.33999633789062,176.64999389648438,174.72999572753906,175.47000122070312,172.6422576904297,414400
2023-04-13,175.72999572753906,176.36000061035156,172.8000030517578,174.6199951171875,171.8059539794922,649300
2023-04-14,173.9600067138672,177.92999267578125,173.9600067138672,176.77000427246094,173.92129516601562,614900
2023-04-17,177.27000427246094,177.4499969482422,174.14999389648438,176.64999389648438,173.80322265625,1328000
2023-04-18,176.47000122070312,180.0399932861328,174.00999450683594,174.9199981689453,172.10110473632812,2120900
2023-04-19,174.38999938964844,178.80999755859375,173.5500030517578,178.41000366210938,175.53485107421875,1051800
2023-04-20,177.0500030517578,183.35000610351562,177.0500030517578,180.5500030517578,177.64039611816406,1271000
2023-04-21,180.97000122070312,181.8300018310547,173.77999877929688,176.4199981689453,173.57693481445312,1380600
2023-04-24,176.88999938964844,178.16000366210938,175.97999572753906,176.4199981689453,173.57693481445312,625000
2023-04-25,174.3000030517578,174.60000610351562,170.4600067138672,172.5500030517578,169.76930236816406,783000
2023-04-26,170.32000732421875,170.75,164.38999938964844,165.6199951171875,162.95098876953125,1028900
2023-04-27,166.7899932861328,170.7899932861328,165.77000427246094,170.07000732421875,167.32928466796875,654600
2023-04-28,169.94000244140625,175.92999267578125,169.5399932861328,175.2899932861328,172.46514892578125,966900
2023-05-01,175.25999450683594,176.7899932861328,175.0,176.47000122070312,173.62612915039062,532700
2023-05-02,175.97999572753906,175.97999572753906,172.10000610351562,175.3000030517578,172.47499084472656,552200
2023-05-03,175.69000244140625,178.77000427246094,174.38999938964844,174.94000244140625,172.1208038330078,506300
2023-05-04,174.63999938964844,176.22999572753906,173.4499969482422,174.97000122070312,172.1503143310547,568600
2023-05-05,175.3300018310547,179.6999969482422,174.85000610351562,179.1199951171875,176.2333984375,532500
2023-05-08,180.41000366210938,180.6300048828125,177.57000732421875,178.2899932861328,175.4167938232422,453800
2023-05-09,177.6699981689453,178.0399932861328,175.2100067138672,175.91000366210938,173.07516479492188,555600
2023-05-10,177.5800018310547,178.02000427246094,174.16000366210938,176.61000061035156,173.7638702392578,487100
2023-05-11,177.63999938964844,178.36000061035156,175.57000732421875,176.33999633789062,173.9118194580078,565100
2023-05-12,176.6999969482422,177.75999450683594,174.75999450683594,176.00999450683594,173.5863494873047,558400
2023-05-15,176.17999267578125,176.17999267578125,174.02999877929688,175.5399932861328,173.12281799316406,477700
2023-05-16,174.6300048828125,175.38999938964844,170.89999389648438,171.02999877929688,168.67494201660156,636100
2023-05-17,171.97999572753906,172.6699981689453,169.19000244140625,172.1199951171875,169.74989318847656,755300
2023-05-18,172.1300048828125,174.4499969482422,168.0,170.69000244140625,168.33961486816406,973000
2023-05-19,171.27999877929688,171.27999877929688,167.14999389648438,168.3699951171875,166.0515594482422,632500
2023-05-22,169.67999267578125,170.49000549316406,166.1199951171875,168.85000610351562,166.5249481201172,647400
2023-05-23,168.7100067138672,173.19000244140625,168.47000122070312,171.5399932861328,169.17788696289062,741500
2023-05-24,170.25,170.25,167.13999938964844,168.25,165.93319702148438,640200
2023-05-25,168.0,171.47999572753906,167.61000061035156,170.97000122070312,168.6157684326172,470700
2023-05-26,171.0,171.74000549316406,169.2100067138672,170.27000427246094,167.92538452148438,502300
2023-05-30,170.4600067138672,172.30999755859375,168.52000427246094,171.25,168.89187622070312,411600
2023-05-31,170.17999267578125,171.0800018310547,165.3300018310547,166.97000122070312,164.6708221435547,1407400
2023-06-01,168.02999877929688,169.5500030517578,166.72999572753906,169.3300018310547,166.99832153320312,357700
2023-06-02,170.36000061035156,173.85000610351562,169.58999633789062,172.58999633789062,170.21343994140625,583600
2023-06-05,172.69000244140625,172.7100067138672,167.92999267578125,169.5,167.16598510742188,764800
2023-06-06,168.80999755859375,173.74000549316406,168.57000732421875,171.5500030517578,169.18775939941406,478500
2023-06-07,171.5500030517578,175.60000610351562,170.39999389648438,175.35000610351562,172.9354248046875,634900
2023-06-08,175.35000610351562,175.92999267578125,171.6300048828125,172.24000549316406,169.86827087402344,746200
