Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,247.85000610351562,249.41000366210938,246.32000732421875,248.60000610351562,238.0647430419922,777900
2023-01-04,247.49000549316406,248.75999450683594,242.9600067138672,245.22000122070312,234.8280029296875,1076700
2023-01-05,244.5500030517578,246.47000122070312,243.7899932861328,244.6199951171875,234.25341796875,945800
2023-01-06,247.32000732421875,251.94000244140625,245.0,248.25,237.7295684814453,1074800
2023-01-09,248.5500030517578,249.6199951171875,244.5500030517578,245.2100067138672,234.8184356689453,1571500
2023-01-10,246.24000549316406,248.9199981689453,245.72000122070312,247.5399932861328,237.04966735839844,1274200
2023-01-11,248.6300048828125,249.0,244.75,248.69000244140625,238.15090942382812,856300
2023-01-12,248.83999633789062,250.25999450683594,247.19000244140625,247.6999969482422,237.20289611816406,685500
2023-01-13,243.97999572753906,245.3300018310547,238.88999938964844,240.2899932861328,230.10690307617188,1459600
2023-01-17,240.85000610351562,242.82000732421875,239.89999389648438,241.13999938964844,230.9208984375,1339000
2023-01-18,241.1999969482422,242.0,236.75999450683594,237.0,226.95632934570312,1697900
2023-01-19,235.82000732421875,236.97999572753906,231.47999572753906,231.5500030517578,222.92245483398438,1200400
2023-01-20,232.11000061035156,232.7899932861328,228.25999450683594,232.7899932861328,224.11622619628906,1499900
2023-01-23,232.7899932861328,234.17999267578125,231.55999755859375,232.4499969482422,223.78892517089844,1264500
2023-01-24,233.30999755859375,235.72000122070312,230.49000549316406,235.4499969482422,226.6771240234375,1443500
2023-01-25,224.86000061035156,229.1300048828125,220.3300018310547,226.8800048828125,218.4264678955078,2727600
2023-01-26,227.0,229.94000244140625,223.41000366210938,228.11000061035156,219.6106414794922,1429800
2023-01-27,227.36000061035156,229.1300048828125,226.02000427246094,227.49000549316406,219.0137481689453,1324300
2023-01-30,228.64999389648438,230.10000610351562,226.3699951171875,228.07000732421875,219.57211303710938,1138000
2023-01-31,228.9600067138672,233.1999969482422,227.83999633789062,233.05999755859375,224.37620544433594,1303100
2023-02-01,231.1999969482422,232.8300018310547,228.5500030517578,230.4499969482422,221.86341857910156,1137700
2023-02-02,228.30999755859375,232.55999755859375,227.55999755859375,231.41000366210938,222.78768920898438,1541100
2023-02-03,233.72999572753906,234.8699951171875,230.9499969482422,231.5399932861328,222.91281127929688,1650100
2023-02-06,232.25,235.64999389648438,231.1999969482422,232.35000610351562,223.6926727294922,1099100
2023-02-07,231.77000427246094,232.0800018310547,228.4600067138672,231.9600067138672,223.3171844482422,1186100
2023-02-08,230.33999633789062,231.6199951171875,228.8300018310547,229.1199951171875,220.58299255371094,1138700
2023-02-09,230.38999938964844,230.5800018310547,227.57000732421875,228.66000366210938,220.14012145996094,1095300
2023-02-10,229.7100067138672,233.27000427246094,229.0800018310547,233.22000122070312,224.53024291992188,851700
2023-02-13,235.0,235.66000366210938,231.6999969482422,232.8800048828125,224.20289611816406,784700
2023-02-14,232.8699951171875,233.17999267578125,231.0,232.07000732421875,223.42308044433594,730600
2023-02-15,231.08999633789062,232.47999572753906,230.6999969482422,232.47000122070312,223.8081817626953,631100
